Date,Open,High,Low,Close,Volume,OpenInt,Predictions
20130627,48.558,49.458999999999996,48.542,49.336999999999996,1879776.0,0.0,48.55216855629622
20130628,49.11,49.394,48.177,48.988,2205390.0,0.0,49.40244553432211
20130701,49.248000000000005,50.035,49.143,49.662,3673108.0,0.0,48.898252383638116
20130702,49.743,50.271,49.183,49.589,2836989.0,0.0,49.695234908429015
20130703,49.402,50.391999999999996,49.102,50.238,1425951.0,0.0,49.52900687249364
20130705,50.571000000000005,51.43899999999999,50.287,51.423,1890064.0,0.0,50.257205935765505
20130708,51.707,51.707,51.138999999999996,51.383,1712736.0,0.0,51.45272801993397
20130709,51.585,52.174,51.398999999999994,52.071999999999996,2211814.0,0.0,51.26594203027165
20130710,51.998999999999995,53.013999999999996,51.836999999999996,52.99,2160248.0,0.0,52.05431716026531
20130711,53.606,54.434,53.338,54.223,2273942.0,0.0,52.97169394684186
20130712,54.336999999999996,54.97,54.223,54.71,2038381.0,0.0,54.20317744458902
20130715,54.556000000000004,54.596000000000004,53.403,54.02,2664649.0,0.0,54.59688486741119
20130716,53.955,54.068999999999996,53.379,53.955,2207022.0,0.0,53.840236402053556
20130717,54.141999999999996,54.345,53.063,53.086999999999996,2166425.0,0.0,53.912775178477204
20130718,52.503,53.238,52.3,52.559,2672919.0,0.0,53.00065414175655
20130719,52.47,52.957,52.388999999999996,52.81100000000001,2347670.0,0.0,52.56060809593339
20130722,53.29,53.623000000000005,52.81100000000001,53.566,1589355.0,0.0,52.89058995828334
20130723,53.631,54.06100000000001,53.452,53.623000000000005,1928850.0,0.0,53.646447437438674
20130724,54.394,55.391999999999996,54.376999999999995,54.775,4463071.0,0.0,53.5939876608743
20130725,57.177,57.348,54.361000000000004,55.173,8217330.0,0.0,54.83834676874638
20130726,55.11600000000001,55.11600000000001,54.012,55.01,3970895.0,0.0,55.11477231395517
20130729,54.71,56.078,54.71,55.983999999999995,3059424.0,0.0,54.915621648376195
20130730,56.301,57.518,56.033,57.275,3890595.0,0.0,56.016753214795415
20130731,57.323,58.638000000000005,57.056000000000004,58.452,4990817.0,0.0,57.28619486590645
20130801,58.663000000000004,59.839,58.663000000000004,59.093,3221965.0,0.0,58.40565189188448
20130802,59.288000000000004,59.856,59.101000000000006,59.343999999999994,2792844.0,0.0,58.981525050545166
20130805,59.198,59.66,59.012,59.32,1471099.0,0.0,59.22084555060269
20130806,59.158,59.401,58.638000000000005,59.003,1809303.0,0.0,59.21165731509544
20130807,58.744,59.117,58.248999999999995,58.419,1365831.0,0.0,58.912039900924725
20130808,58.792,59.385,58.581,59.093,1428552.0,0.0,58.35114199633613
20130809,58.963,59.401,58.711000000000006,59.214,1368445.0,0.0,59.167465474785196
20130812,58.801,59.733999999999995,58.736000000000004,59.523,1325466.0,0.0,59.19532877463507
20130813,59.75,60.107,58.979,59.791000000000004,1204243.0,0.0,59.521472411461396
